Row Labels,Sum of FL_NUMBER,,,
JAN,4231108,,,
SUN,1174575,,,
DEC,525184,,,
SAT,11434881,,,
ABE,2624918,,,
ABI,1246575,,,
ABQ,8781472,,,
ABR,510159,,,
ABY,657607,,,
ACK,670507,,,
ACT,856527,,,
ACV,1572238,,,
ACY,440497,,,
ADK,4052,,,
ADQ,29346,,,
AEX,1777606,,,
AGS,2983013,,,
AKN,43440,,,
ALB,5025412,,,
ALO,330862,,,
ALS,183221,,,
ALW,100178,,,
AMA,2694801,,,
ANC,1759929,,,
APN,417862,,,
ART,43264,,,
ASE,4984734,,,
ATL,121202661,,,
ATW,3070504,,,
ATY,312149,,,
AUS,22728089,,,
AVL,4794786,,,
AVP,1373374,,,
AZA,892027,,,
AZO,1099930,,,
BDL,8425612,,,
BET,4925,,,
BFF,487849,,,
BFL,1936760,,,
BFM,3469,,,
BGM,516729,,,
BGR,2831294,,,
BHM,9232804,,,
BIH,63495,,,
BIL,1743065,,,
BIS,2446724,,,
BJI,543380,,,
BKG,10288,,,
BLI,576644,,,
BLV,337809,,,
BMI,1732041,,,
BNA,32225448,,,
BOI,10506638,,,
BOS,39620725,,,
BPT,547104,,,
BQK,534075,,,
BQN,279081,,,
BRD,404024,,,
BRO,1232257,,,
BRW,5212,,,
BTM,423552,,,
BTR,3624704,,,
BTV,4763803,,,
BUF,8317467,,,
BUR,9978976,,,
BWI,29305001,,,
BZN,3717351,,,
CAE,3795307,,,
CAK,2622626,,,
CDB,926,,,
CDC,451518,,,
CDV,7777,,,
CGI,493945,,,
CHA,4209811,,,
CHO,2502043,,,
CHS,11413616,,,
CID,4971803,,,
CIU,524984,,,
CKB,563323,,,
CLE,16806621,,,
CLL,1001043,,,
CLT,106665977,,,
CMH,19536821,,,
CMI,1156863,,,
CMX,639116,,,
CNY,491511,,,
COD,420693,,,
COS,6284285,,,
COU,1039068,,,
CPR,1287191,,,
CRP,2355726,,,
CRW,2526029,,,
CSG,1060123,,,
CVG,19702422,,,
CWA,1450451,,,
CYS,261579,,,
DAB,1782830,,,
DAL,20267687,,,
DAY,6336983,,,
DBQ,325700,,,
DCA,62069180,,,
DDC,332139,,,
DEN,103616830,,,
DFW,122183953,,,
DHN,849988,,,
DIK,173931,,,
DLG,56217,,,
DLH,1469118,,,
DRO,2548704,,,
DRT,344620,,,
DSM,8025278,,,
DTW,64583940,,,
DVL,514067,,,
EAR,580029,,,
EAT,89709,,,
EAU,500808,,,
ECP,3763065,,,
EGE,1403272,,,
EKO,414847,,,
ELM,561987,,,
ELP,7484011,,,
ERI,425580,,,
ESC,489880,,,
EUG,3842166,,,
EVV,1904692,,,
EWN,1264637,,,
EWR,37452097,,,
EYW,4081067,,,
FAI,556864,,,
FAR,3713574,,,
FAT,6088042,,,
FAY,2053600,,,
FCA,1848333,,,
FLG,1089823,,,
FLL,20240994,,,
FLO,26514,,,
FNT,1772192,,,
FOD,280032,,,
FSD,4267311,,,
FSM,1003457,,,
FWA,3334153,,,
GCC,566675,,,
GCK,511037,,,
GEG,5950997,,,
GFK,803224,,,
GGG,596667,,,
GJT,2519039,,,
GNV,2565446,,,
GPT,2526839,,,
GRB,2813987,,,
GRI,565750,,,
GRK,1576963,,,
GRR,7993031,,,
GSO,6512746,,,
GSP,7707016,,,
GST,1637,,,
GTF,1312261,,,
GTR,820041,,,
GUC,472079,,,
GUM,22456,,,
HDN,1106577,,,
HGR,60046,,,
HHH,1854609,,,
HIB,469093,,,
HLN,761757,,,
HNL,4963353,,,
HOB,335918,,,
HOU,17197361,,,
HPN,4833172,,,
HRL,1723721,,,
HSV,5362788,,,
HTS,157932,,,
HVN,244992,,,
HYA,28000,,,
HYS,626297,,,
IAD,27010930,,,
IAG,93636,,,
IAH,65888564,,,
ICT,5009618,,,
IDA,1998480,,,
ILG,5016,,,
ILM,4517416,,,
IMT,465378,,,
IND,20303813,,,
INL,432174,,,
IPT,4245,,,
ISN,78231,,,
ISP,1523405,,,
ITH,518235,,,
ITO,506014,,,
JAC,2011621,,,
JAX,12216819,,,
JFK,37172246,,,
JLN,562153,,,
JMS,757287,,,
JNU,104324,,,
JST,341300,,,
KOA,1809280,,,
KTN,87776,,,
LAN,1720941,,,
LAR,555510,,,
LAS,43396026,,,
LAW,766424,,,
LAX,59039421,,,
LBB,3407264,,,
LBE,151709,,,
LBF,474197,,,
LBL,507618,,,
LCH,833039,,,
LCK,288305,,,
LEX,4734502,,,
LFT,2732398,,,
LGA,69485853,,,
LGB,4939670,,,
LIH,1466963,,,
LIT,6230513,,,
LNK,973747,,,
LRD,1066631,,,
LSE,1069854,,,
LWB,479816,,,
LWS,676081,,,
LYH,355773,,Row Labels,Sum of DEP_DELAY
MAF,5267879,,Alaska Airlines Inc.,155425
MBS,1215939,,Allegiant Air,248305
MCI,18027615,,American Airlines Inc.,1616699
MCO,33990700,,Delta Air Lines Inc.,1099269
MCW,224125,,Endeavor Air Inc.,233893
MDT,2825947,,Envoy Air,294446
MDW,26076023,,ExpressJet Airlines LLC d/b/a aha!,76232
MEI,528375,,Frontier Airlines Inc.,363411
MEM,10023989,,Hawaiian Airlines Inc.,59228
MFE,2217125,,Horizon Air,37481
MFR,3378967,,JetBlue Airways,700005
MGM,2236589,,Mesa Airlines Inc.,279824
MHK,828220,,PSA Airlines Inc.,293874
MHT,3447741,,Republic Airline,279668
MIA,30262931,,SkyWest Airlines Inc.,1089825
MKE,11510176,,Southwest Airlines Co.,2128558
MKG,421743,,Spirit Air Lines,426591
MLB,1445540,,United Air Lines Inc.,957843
MLI,2793359,,Grand Total,10340577
MLU,1504148,,,
MMH,130187,,,
MOB,2759221,,,
MOT,1677218,,,
MQT,805212,,,
MRY,2633617,,,
MSN,6150436,,,
MSO,2144441,,,
MSP,56737016,,,
MSY,14661993,,,
MTJ,1499222,,,
MVY,495969,,,
MYR,5425961,,,
OAJ,1823719,,,
OAK,14135801,,,
OGD,6308,,,
OGG,2906667,,,
OGS,337208,,,
OKC,11063445,,Row Labels,Sum of CANCELLED
OMA,10282886,,Jan,2626
OME,15780,,Feb,2457
ONT,7769930,,Mar,5113
ORD,116779138,,Apr,6112
ORF,11402569,,May,1539
ORH,355158,,Jun,1816
OTH,377689,,Jul,1795
OTZ,16873,,Aug,1967
OWB,20659,,Sep,895
PAE,994843,,Oct,848
PAH,605232,,Nov,582
PBG,453976,,Dec,1847
PBI,6496418,,Grand Total,27597
PDX,16158960,,,
PGD,1501369,,,
PGV,67433,,,
PHF,819580,,,
PHL,40302593,,,
PHX,58290336,,,
PIA,2262101,,,
PIB,573127,,,
PIE,1681022,,,
PIH,660228,,,
PIR,328774,,,
PIT,19289577,,,
PLN,713097,,,
PNS,6450154,,,
PPG,4650,,,
PRC,580565,,,
PSC,2862335,,,
PSE,128722,,,
PSG,9101,,,
PSM,104485,,,
PSP,6455283,,,
PUB,543887,,,
PUW,206754,,,
PVD,6257522,,,
PVU,275967,,,
PWM,5513079,,,
RAP,3379686,,,
RDD,1032521,,,
RDM,3568547,,,
RDU,22751884,,,
RFD,153502,,,
RHI,597482,,,
RIC,9178549,,,
RIW,305737,,,
RKS,406250,,,
RNO,8297003,,,
ROA,1272987,,,
ROC,6420800,,,
ROW,604739,,,
RST,1701711,,,
RSW,10134792,,,
SAF,994216,,,
SAN,24426418,,,
SAV,8935178,,,
SBA,3861960,,,
SBN,3685432,,,
SBP,3584141,,,
SCC,31755,,,
SCE,773987,,,
SCK,116603,,,
SDF,11798387,,,
SEA,36838786,,,
SFB,3022954,,,
SFO,48175368,,,
SGF,4545477,,,
SGU,2184847,,,
SHD,421872,,,
SHR,389611,,,
SHV,3612605,,,
SIT,92310,,,
SJC,16837448,,,
SJT,1091135,,,
SJU,6174734,,,
SLC,47118196,,,
SLN,641538,,,
SMF,17166844,,,
SMX,9168,,,
SNA,12498055,,,
SPI,799819,,,
SPN,11274,,,
SPS,731267,,,
